concert_id,演唱会名称,艺人,艺人热度分,音乐风格,省份,城市,演出场馆,场馆类型,场馆容纳量,开演日期,闭演日期,演出时长(分钟),主办方,票价下限(元),票价上限(元),实际入场人数,售票状态/备注
C202600001,毛不易 2026全国巡演（2晚） 沈阳站,毛不易,68,民谣/流行,辽宁,沈阳,沈阳奥体中心体育馆,体育馆,9161,2026-02-14,2026-02-15,119,摩登天空,49,175,6166,余票较多
C202400002,GAI周延 2024全国巡演 合肥站,GAI周延,72,嘻哈,安徽,合肥,合肥国际会展/体育馆(演出场),体育馆,28350,2024-02-13,2024-02-13,129,永乐票务,49,290,18892,余票较多
C202400003,张靓颖 2024全新舞台演出 成都站,张靓颖,76,流行,四川,成都,成都体育中心体育场,体育场,43406,2024-12-28,2024-12-28,108,猫眼演出,49,89,27014,余票较多
C202600004,张靓颖 2026世界巡回演唱会 天津站,张靓颖,76,抒情,天津,天津,天津体育文化中心体育馆,体育馆,11430,2026-04-11,2026-04-11,129,现场娱乐(主办合作),49,78,7890,余票较多
C202600005,毛不易 2026年度演唱会 南宁站,毛不易,42,民谣/流行,广西,南宁,南宁体育中心体育馆,体育馆,3756,2026-07-24,2026-07-24,132,大麦,49,75,2006,上座偏低
C202400006,光良 2024巡回演唱会 石家庄站,光良,55,抒情,河北,石家庄,石家庄体育中心体育馆,体育馆,6372,2024-12-28,2024-12-28,117,猫眼演出,49,163,3546,余票较多
C202400007,李荣浩 2024特别呈现演唱会 长沙站,李荣浩,59,流行,湖南,长沙,长沙体育中心体育馆,体育馆,9208,2024-10-17,2024-10-17,92,猫眼演出,49,59,6076,余票较多
C202200008,张杰 2022特别呈现演唱会 深圳站,张杰,78,抒情,广东,深圳,深圳国际体育中心体育场,体育场,59811,2022-02-16,2022-02-16,108,摩登天空,49,140,37440,余票较多
C202400009,蔡依林 2024巡回演唱会 厦门站,蔡依林,83,流行,福建,厦门,厦门体育中心体育馆,体育馆,19438,2024-06-17,2024-06-17,103,索尼音乐,49,64,12593,余票较多
C202300010,周杰伦 2023全新舞台演出 合肥站,周杰伦,92,R&B,安徽,合肥,合肥体育馆,体育馆,10619,2023-09-29,2023-09-29,136,摩登天空,49,147,8554,正常
C202300011,刘若英(奶茶) 2023年度演唱会 昆明站,刘若英(奶茶),79,抒情,云南,昆明,昆明音乐厅/演出中心,演艺中心,3491,2023-03-15,2023-03-15,121,大麦,49,291,2406,余票较多
C202300012,周杰伦 2023年度演唱会（2晚） 大连站,周杰伦,99,嘻哈,辽宁,大连,大连体育馆,体育馆,15201,2023-10-29,2023-10-30,133,环球音乐,49,249,13420,正常
C202200013,薛之谦 2022特别呈现演唱会 佛山站,薛之谦,82,民谣/流行,广东,佛山,佛山国际会展/体育馆(演出场),体育馆,4970,2022-07-17,2022-07-17,121,华纳音乐,49,59,3484,余票较多
C202600014,王嘉尔 2026年度演唱会 重庆站,王嘉尔,69,舞曲/电子,重庆,重庆,重庆体育中心体育馆,体育馆,28482,2026-05-09,2026-05-09,119,索尼音乐,49,107,18232,余票较多
C202400015,刘若英(奶茶) 2024年度演唱会 青岛站,刘若英(奶茶),75,抒情,山东,青岛,青岛体育馆,体育馆,9531,2024-11-29,2024-11-29,115,摩登天空,49,298,6183,余票较多
C202600016,蔡依林 2026全国巡演 济南站,蔡依林,93,舞曲/电子,山东,济南,济南国际体育中心体育场,体育场,22496,2026-03-10,2026-03-10,135,大麦,49,243,16417,余票较多
C202500017,周杰伦 2025特别呈现演唱会（3晚） 济南站,周杰伦,93,嘻哈,山东,济南,济南体育文化中心体育馆,体育馆,14346,2025-07-04,2025-07-06,133,永乐票务,49,59,9242,余票较多
C202500018,周杰伦 2025全国巡演（3晚） 杭州站,周杰伦,89,嘻哈,浙江,杭州,杭州体育文化中心体育馆,体育馆,27747,2025-12-24,2025-12-26,132,猫眼演出,49,178,20924,正常
C202500019,张杰 2025全国巡演 杭州站,张杰,77,流行,浙江,杭州,杭州体育中心体育馆,体育馆,15652,2025-04-27,2025-04-27,111,猫眼演出,49,165,12542,正常
C202400020,王菲 2024巡回演唱会 佛山站,王菲,78,流行,广东,佛山,佛山体育文化中心体育馆,体育馆,3136,2024-03-31,2024-03-31,117,大麦,49,282,2401,正常
C202300021,周杰伦 2023全新舞台演出 佛山站,周杰伦,88,嘻哈,广东,佛山,佛山大剧院(演出厅),演艺中心,5523,2023-05-03,2023-05-03,125,杰克音乐,49,217,4057,余票较多
C202600022,汪苏泷 2026年度演唱会 石家庄站,汪苏泷,75,流行,河北,石家庄,石家庄演艺中心,演艺中心,5244,2026-07-13,2026-07-13,132,摩登天空,49,181,3430,余票较多
